Customer,State,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
QW47320,California,Premium,Bachelor,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal L1,Agent,1300.8,Luxury SUV,Medsize
KH64733,Nevada,Basic,College,Employed,F,62007,Rural,Married,73,4,7,0,3,Personal L3,Agent,120.015609,Four-Door Car,Medsize
HP94242,Arizona,Basic,Bachelor,Employed,F,42621,Suburban,Married,66,8,3,0,3,Personal L1,Call Center,316.8,Four-Door Car,Medsize
RV15398,Oregon,Extended,College,Unemployed,M,0,Suburban,Divorced,87,16,41,1,2,Personal L3,Agent,417.6,Four-Door Car,Large
PW73754,California,Basic,High School or Below,Unemployed,F,0,Rural,Married,104,1,48,3,7,Personal L3,Branch,82.041684,Sports Car,Medsize
MC71942,California,Extended,High School or Below,Employed,F,82877,Rural,Married,99,8,89,1,3,Personal L3,Agent,22.819088,Two-Door Car,Medsize
YQ99152,Nevada,Extended,High School or Below,Retired,M,10475,Suburban,Married,88,13,81,1,2,Personal L2,Branch,422.4,Two-Door Car,Small
KI19439,Oregon,Basic,High School or Below,Employed,F,21952,Suburban,Married,66,20,31,0,6,Personal L1,Branch,316.8,Four-Door Car,Small
US45383,California,Premium,College,Employed,M,88340,Suburban,Married,102,16,1,0,2,Personal L3,Branch,489.6,Two-Door Car,Medsize
GT38956,California,Basic,College,Unemployed,F,0,Suburban,Married,65,7,28,0,1,Personal L3,Branch,312,Four-Door Car,Medsize
BE62503,Washington,Extended,College,Retired,F,24589,Suburban,Married,82,33,39,0,2,Personal L3,Branch,511.497882,Two-Door Car,Medsize
PA16884,California,Premium,Bachelor,Employed,F,69379,Suburban,Single,103,14,79,0,1,Personal L3,Branch,494.4,Two-Door Car,Medsize
NC58480,Nevada,Basic,Bachelor,Employed,F,73769,Urban,Married,61,24,95,2,3,Personal L3,Web,239.540223,Four-Door Car,Medsize
NS39326,California,Basic,College,Employed,F,66670,Urban,Married,114,23,6,0,1,Personal L3,Agent,518.180364,SUV,Medsize
PN18507,Arizona,Premium,Bachelor,Employed,M,88854,Suburban,Single,118,6,50,0,2,Personal L2,Branch,715.252366,Two-Door Car,Medsize
JY16280,California,Basic,High School or Below,Employed,F,43860,Rural,Single,65,15,58,0,1,Personal L2,Agent,156.124914,Four-Door Car,Medsize
YR34689,California,Extended,High School or Below,Employed,F,79270,Suburban,Married,95,28,61,3,2,Personal L1,Branch,456,Four-Door Car,Medsize
RT65829,Oregon,Premium,Bachelor,Employed,M,36692,Suburban,Married,109,1,6,1,1,Personal L3,Call Center,523.2,Four-Door Car,Medsize
BZ12077,Oregon,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,119,0,37,0,1,Personal L3,Agent,571.2,SUV,Medsize
QD38160,Oregon,Extended,College,Unemployed,M,0,Suburban,Single,135,8,14,0,1,Personal L3,Agent,972,SUV,Medsize
EV19512,Nevada,Extended,Master,Retired,F,19614,Suburban,Married,85,21,32,0,2,Personal L2,Agent,574.024018,Two-Door Car,Medsize
TE13577,Oregon,Basic,College,Unemployed,F,0,Suburban,Single,64,31,53,0,1,Personal L1,Branch,632.715382,Four-Door Car,Medsize
YG20683,Washington,Basic,College,Employed,M,51159,Rural,Married,72,4,61,0,1,Personal L2,Branch,4.238626,Four-Door Car,Medsize
FK75497,California,Basic,College,Employed,M,83772,Rural,Divorced,62,13,76,0,1,Personal L3,Branch,42.248087,Two-Door Car,Large
NE60110,Arizona,Premium,College,Employed,M,66839,Suburban,Single,154,33,24,0,1,Personal L2,Branch,739.2,Sports Car,Medsize
TN36521,Arizona,Basic,College,Employed,F,88440,Rural,Single,70,19,30,0,2,Personal L3,Branch,27.145151,Two-Door Car,Medsize
HG33568,Arizona,Basic,Master,Employed,F,25666,Urban,Married,63,7,30,2,2,Personal L3,Call Center,270.002766,Four-Door Car,Medsize
TW17878,Oregon,Basic,High School or Below,Employed,F,52926,Suburban,Married,61,2,92,0,1,Personal L3,Call Center,292.8,Four-Door Car,Medsize
ZO83562,Nevada,Basic,Bachelor,Unemployed,F,0,Suburban,Single,67,16,90,0,1,Personal L3,Agent,494.946438,Four-Door Car,Medsize
CH97539,Washington,Basic,Bachelor,Employed,F,40001,Rural,Divorced,70,26,7,0,2,Personal L3,Branch,142.567008,Four-Door Car,Medsize
CV29889,California,Basic,College,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal L3,Branch,425.266308,Four-Door Car,Medsize
MO33320,Oregon,Basic,College,Disabled,M,18024,Suburban,Single,65,13,1,0,3,Personal L3,Agent,312,Two-Door Car,Medsize
QZ81258,Oregon,Basic,College,Unemployed,F,0,Suburban,Single,68,19,2,3,2,Personal L3,Agent,326.4,Four-Door Car,Large
NY56352,Oregon,Basic,Bachelor,Medical Leave,F,23220,Urban,Married,74,3,73,0,1,Personal L3,Agent,251.334247,Four-Door Car,Medsize
EA27048,California,Basic,High School or Below,Employed,F,64125,Urban,Married,108,3,44,0,3,Personal L3,Branch,369.818708,SUV,Large
HN57556,California,Basic,High School or Below,Unemployed,F,0,Suburban,Single,65,6,45,0,2,Personal L3,Branch,312,Four-Door Car,Medsize
KW56110,Oregon,Basic,Bachelor,Unemployed,M,0,Suburban,Single,182,3,56,0,2,Personal L2,Web,1310.4,Luxury Car,Medsize
XO36233,Washington,Basic,Bachelor,Employed,M,78904,Rural,Divorced,109,10,38,0,9,Personal L3,Branch,250.001424,SUV,Large
ZX86243,Arizona,Extended,Doctor,Employed,M,70247,Rural,Single,83,13,19,1,1,Personal L2,Call Center,141.799422,Four-Door Car,Medsize
DW29763,Arizona,Basic,High School or Below,Employed,M,32653,Suburban,Married,67,4,25,0,9,Personal L1,Agent,321.6,Two-Door Car,Large
OQ90898,California,Basic,Master,Employed,M,90279,Urban,Divorced,115,7,64,0,2,Personal L1,Call Center,372.175592,SUV,Medsize
GO77248,Oregon,Basic,College,Unemployed,F,0,Suburban,Single,72,3,56,0,3,Personal L3,Agent,542.14385,Four-Door Car,Small
QW33258,California,Basic,Bachelor,Employed,M,53310,Suburban,Divorced,189,26,33,3,1,Personal L3,Branch,1360.8,Luxury Car,Medsize
OU79745,California,Premium,College,Unemployed,M,0,Suburban,Divorced,105,5,42,0,5,Personal L3,Agent,504,Four-Door Car,Medsize
VZ79886,Oregon,Premium,Bachelor,Employed,F,22234,Suburban,Divorced,160,0,92,0,3,Personal L3,Agent,768,SUV,Medsize
FI92440,Washington,Extended,High School or Below,Employed,F,91375,Rural,Married,99,22,89,0,2,Personal L1,Call Center,72.632934,Two-Door Car,Medsize
YG85980,Nevada,Extended,High School or Below,Employed,F,22250,Suburban,Married,86,10,36,0,3,Personal L3,Web,720.601429,Two-Door Car,Medsize
QM74621,Oregon,Extended,Bachelor,Unemployed,M,0,Suburban,Single,80,9,69,0,7,Personal L3,Agent,576,Four-Door Car,Medsize
EI71732,Oregon,Extended,Doctor,Unemployed,F,0,Suburban,Married,84,18,25,1,4,Personal L1,Agent,481.025786,Four-Door Car,Medsize
FI61723,California,Basic,Bachelor,Employed,M,38667,Rural,Single,72,8,67,0,1,Personal L3,Agent,159.266473,Four-Door Car,Medsize
TF10720,Nevada,Premium,Doctor,Employed,F,67763,Rural,Married,107,28,10,2,9,Personal L3,Web,41.283167,Four-Door Car,Medsize
FS76657,Oregon,Basic,College,Employed,F,53526,Urban,Married,68,27,69,0,4,Personal L3,Agent,278.902846,Four-Door Car,Medsize
YX89016,Oregon,Premium,College,Employed,M,35005,Suburban,Married,295,14,46,0,2,Personal L3,Web,1416,Luxury Car,Small
PK28821,California,Basic,College,Employed,M,24721,Rural,Married,67,3,76,0,1,Personal L2,Branch,139.963594,Four-Door Car,Medsize
MB51200,Washington,Premium,College,Unemployed,M,0,Suburban,Single,102,29,72,2,2,Personal L3,Branch,734.4,Four-Door Car,Medsize
XG44587,Arizona,Basic,Master,Employed,M,88997,Rural,Divorced,72,9,71,0,3,Personal L3,Branch,174.041566,Four-Door Car,Small
FG91922,Arizona,Basic,Master,Employed,M,48587,Suburban,Married,111,7,14,0,2,Personal L2,Branch,532.8,SUV,Medsize
OM99303,Arizona,Basic,High School or Below,Employed,F,76310,Suburban,Married,67,1,33,0,1,Personal L3,Branch,321.6,Two-Door Car,Medsize
RV67546,California,Extended,Bachelor,Employed,M,73205,Rural,Married,92,9,18,0,1,Personal L2,Branch,37.299865,Four-Door Car,Medsize
UJ79253,Oregon,Extended,College,Employed,F,51056,Rural,Married,78,27,86,0,2,Personal L1,Branch,95.816516,Four-Door Car,Large
PN98247,California,Extended,College,Employed,M,58414,Suburban,Single,210,7,24,2,1,Personal L3,Agent,1008,Luxury SUV,Small
IB67546,California,Basic,Bachelor,Medical Leave,F,23940,Suburban,Married,107,13,34,0,7,Personal L3,Call Center,513.6,SUV,Small
OE19087,California,Basic,High School or Below,Unemployed,F,0,Suburban,Single,62,26,18,0,1,Personal L3,Call Center,446.4,Four-Door Car,Medsize
CM95716,California,Basic,Bachelor,Employed,M,44216,Rural,Married,71,24,36,0,2,Personal L2,Agent,72.205362,Four-Door Car,Large
QW67581,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Married,69,27,48,0,9,Personal L2,Call Center,331.2,Four-Door Car,Small
SN16059,California,Basic,Master,Employed,F,29305,Suburban,Married,66,1,38,0,1,Personal L2,Web,475.2,Four-Door Car,Small
OE51254,California,Basic,College,Employed,F,53882,Suburban,Married,69,14,33,0,1,Personal L3,Agent,331.2,Four-Door Car,Medsize
RM42344,Oregon,Basic,College,Employed,M,91757,Suburban,Married,69,29,58,1,1,Personal L3,Web,331.2,Four-Door Car,Medsize
GB35238,California,Basic,Bachelor,Employed,F,33906,Suburban,Married,64,25,49,0,2,Personal L2,Branch,401.592109,Two-Door Car,Small
ML82674,Oregon,Extended,Bachelor,Employed,M,68158,Rural,Married,139,28,87,1,4,Personal L2,Call Center,253.183568,SUV,Medsize
EI85244,California,Extended,College,Unemployed,M,0,Suburban,Single,134,24,86,3,5,Personal L1,Agent,643.2,SUV,Medsize
TV25678,Washington,Basic,College,Unemployed,M,0,Suburban,Single,101,24,11,0,1,Personal L3,Web,727.2,SUV,Medsize
TY26512,California,Extended,Doctor,Employed,M,30817,Rural,Divorced,88,25,43,0,1,Personal L3,Branch,91.834668,Four-Door Car,Medsize
OB69153,California,Basic,Bachelor,Employed,M,68074,Rural,Married,65,12,62,0,1,Personal L1,Branch,27.987867,Four-Door Car,Medsize
AB31813,Washington,Extended,High School or Below,Unemployed,M,0,Suburban,Married,131,20,59,0,2,Personal L3,Agent,842.391832,SUV,Medsize
XN41715,California,Extended,Master,Employed,F,71135,Urban,Married,92,11,64,1,3,Personal L3,Branch,270.563995,Four-Door Car,Medsize
QR15857,California,Basic,College,Unemployed,F,0,Suburban,Single,61,30,35,0,3,Personal L3,Agent,292.8,Two-Door Car,Medsize
FL69363,Oregon,Basic,Master,Employed,M,37722,Rural,Single,116,8,23,0,8,Personal L1,Agent,158.077504,Sports Car,Medsize
IS30295,Arizona,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,139,5,56,0,2,Personal L3,Call Center,667.2,SUV,Medsize
GR62267,Washington,Basic,College,Employed,F,44705,Rural,Divorced,71,21,63,0,6,Personal L2,Branch,148.173152,Two-Door Car,Medsize
NL59519,California,Extended,College,Employed,F,64642,Urban,Married,96,3,79,0,2,Personal L2,Branch,404.265696,Four-Door Car,Large
ZU93025,Oregon,Basic,College,Employed,F,50071,Rural,Single,71,3,32,0,1,Personal L2,Agent,18.918935,Two-Door Car,Medsize
DK94262,Oregon,Basic,High School or Below,Employed,M,46754,Suburban,Married,106,5,70,1,9,Personal L3,Web,513.818403,SUV,Medsize
OR40060,Arizona,Extended,Bachelor,Employed,M,70410,Rural,Married,83,25,13,0,1,Personal L3,Web,131.828507,Four-Door Car,Medsize
DK32872,Nevada,Extended,High School or Below,Employed,F,66957,Suburban,Married,131,31,4,1,1,Personal L1,Web,628.8,SUV,Medsize
FA46418,Nevada,Extended,High School or Below,Employed,F,24213,Suburban,Single,78,11,28,1,2,Personal L3,Agent,374.4,Four-Door Car,Medsize
KI75855,Oregon,Basic,Master,Employed,M,79751,Suburban,Married,63,15,67,0,1,Personal L3,Web,392.235698,Two-Door Car,Small
ND41876,Arizona,Basic,High School or Below,Employed,M,86122,Suburban,Married,182,33,54,1,1,Personal L2,Agent,873.6,Luxury SUV,Small
PN21042,Arizona,Basic,Bachelor,Employed,M,82297,Rural,Single,116,5,62,0,1,Personal L3,Call Center,0.382107,Sports Car,Medsize
FF22360,Washington,Basic,Doctor,Employed,F,82210,Rural,Married,68,33,46,4,1,Personal L2,Call Center,51.961915,Four-Door Car,Medsize
AL46984,California,Basic,High School or Below,Employed,M,43259,Suburban,Married,73,12,18,0,2,Personal L2,Branch,350.4,Four-Door Car,Medsize
JP58047,Oregon,Extended,College,Unemployed,M,0,Suburban,Married,79,7,72,0,2,Personal L3,Web,379.2,Four-Door Car,Medsize
ZE85014,California,Basic,College,Disabled,M,25064,Suburban,Married,62,17,34,0,1,Personal L3,Call Center,297.6,Four-Door Car,Medsize
KU88219,Arizona,Basic,Master,Employed,M,25816,Suburban,Single,119,18,63,0,1,Personal L1,Agent,571.2,Sports Car,Medsize
UU98729,California,Basic,Bachelor,Unemployed,M,0,Suburban,Married,73,14,74,0,8,Personal L3,Call Center,350.853987,Four-Door Car,Large
YB49933,Arizona,Extended,Bachelor,Employed,M,96170,Suburban,Married,92,8,86,0,1,Personal L1,Call Center,441.6,Four-Door Car,Large
XC16387,Arizona,Basic,High School or Below,Employed,F,46072,Rural,Single,64,0,61,0,4,Personal L3,Branch,25.934064,Four-Door Car,Medsize
XJ96748,Arizona,Extended,High School or Below,Employed,F,37931,Suburban,Married,99,8,31,0,2,Personal L3,Branch,475.2,Four-Door Car,Small
TM98684,Oregon,Basic,High School or Below,Employed,M,35127,Suburban,Married,62,9,21,0,5,Personal L2,Agent,297.6,Four-Door Car,Small
FT56968,Arizona,Basic,High School or Below,Employed,M,22398,Suburban,Married,67,23,76,2,1,Personal L1,Agent,321.6,Four-Door Car,Large
BZ65376,Arizona,Extended,Bachelor,Medical Leave,M,27689,Suburban,Married,239,0,72,2,1,Personal L2,Web,2893.239678,Luxury SUV,Medsize
JC29295,California,Basic,Bachelor,Employed,F,80744,Urban,Married,111,15,19,0,2,Personal L3,Web,361.284757,SUV,Medsize
XT36360,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Single,64,7,5,1,2,Personal L2,Call Center,460.8,Four-Door Car,Large
MR57294,California,Basic,High School or Below,Employed,M,73168,Suburban,Married,70,21,50,0,3,Personal L3,Agent,425.800112,Four-Door Car,Medsize
LK74984,Washington,Basic,High School or Below,Employed,M,21190,Suburban,Married,65,24,68,2,1,Personal L3,Call Center,312,Four-Door Car,Medsize
DX31066,Washington,Basic,College,Employed,F,94041,Rural,Married,66,14,11,0,1,Personal L3,Agent,159.756733,Four-Door Car,Medsize
SP58110,California,Basic,Bachelor,Employed,F,61469,Suburban,Married,63,16,65,5,3,Personal L3,Branch,302.4,Four-Door Car,Small
TV82603,California,Basic,Bachelor,Employed,F,48081,Urban,Married,188,31,12,0,5,Personal L3,Branch,881.360959,Luxury SUV,Small
BB82067,Oregon,Extended,Doctor,Employed,M,67632,Rural,Married,121,0,44,0,4,Personal L3,Branch,26.951627,Sports Car,Medsize
JP94676,Oregon,Basic,Bachelor,Employed,F,34115,Urban,Married,119,6,73,0,6,Personal L2,Agent,466.122541,SUV,Medsize
VU53417,Arizona,Extended,High School or Below,Medical Leave,M,23051,Suburban,Divorced,99,31,86,0,1,Personal L1,Agent,475.2,Two-Door Car,Medsize
IW54795,California,Extended,College,Medical Leave,M,23748,Suburban,Married,99,0,24,0,2,Personal L2,Agent,607.095655,Four-Door Car,Large
IX55883,California,Extended,College,Employed,F,50809,Urban,Single,83,29,58,0,2,Personal L1,Branch,290.381707,Four-Door Car,Medsize
XM72420,Arizona,Extended,High School or Below,Employed,F,66676,Suburban,Married,97,0,40,0,1,Personal L2,Agent,558.099357,Four-Door Car,Small
RX13282,Oregon,Basic,Bachelor,Retired,M,14973,Suburban,Divorced,115,2,75,0,2,Personal L3,Branch,828,SUV,Medsize
IR62668,Arizona,Basic,Bachelor,Employed,F,31546,Rural,Divorced,65,4,83,0,9,Personal L3,Branch,100.049832,Four-Door Car,Medsize
AL96740,California,Basic,College,Employed,F,67763,Rural,Married,73,17,69,1,1,Personal L3,Agent,59.861963,Four-Door Car,Medsize
QC55306,Washington,Extended,High School or Below,Employed,M,83170,Urban,Married,97,0,53,0,2,Personal L2,Agent,344.118069,Four-Door Car,Medsize
VO78441,Washington,Extended,Master,Medical Leave,F,19464,Suburban,Single,84,10,94,1,1,Personal L2,Agent,871.505797,Four-Door Car,Small
XF57481,Washington,Extended,Master,Employed,M,50450,Rural,Single,90,11,68,0,2,Personal L3,Branch,135.892444,Two-Door Car,Medsize
YV67971,California,Basic,High School or Below,Employed,F,21342,Rural,Married,62,34,72,0,3,Personal L2,Agent,74.350893,Four-Door Car,Medsize
YG10247,Oregon,Basic,College,Employed,M,62396,Suburban,Married,64,13,18,0,2,Personal L2,Call Center,307.2,Four-Door Car,Small
FE73696,Oregon,Extended,High School or Below,Employed,M,97212,Urban,Married,93,28,61,0,1,Personal L1,Call Center,360.05589,Two-Door Car,Medsize
SW19699,Arizona,Basic,Bachelor,Employed,F,49648,Rural,Divorced,70,0,23,0,1,Personal L3,Call Center,65.954813,Four-Door Car,Medsize
QJ40732,Arizona,Basic,College,Employed,M,97984,Suburban,Married,61,1,36,1,5,Personal L2,Agent,407.450118,Four-Door Car,Small
NT59303,Oregon,Premium,College,Employed,F,63528,Suburban,Divorced,256,15,23,0,1,Personal L3,Agent,1228.8,Luxury Car,Large
QO86948,Nevada,Basic,High School or Below,Unemployed,M,0,Suburban,Single,112,3,84,0,7,Personal L3,Web,806.4,SUV,Small
QN10888,Oregon,Basic,High School or Below,Employed,F,87620,Rural,Married,64,3,15,0,2,Personal L3,Call Center,24.063693,Four-Door Car,Medsize
XC15133,Nevada,Basic,Master,Employed,F,34990,Rural,Single,65,23,73,0,1,Personal L3,Web,42.689135,Four-Door Car,Medsize
YT69858,Washington,Basic,Bachelor,Employed,F,85702,Urban,Married,67,9,74,0,6,Personal L2,Branch,249.085887,Two-Door Car,Medsize
JX68983,Oregon,Basic,Bachelor,Employed,M,94648,Suburban,Divorced,69,19,64,0,1,Personal L2,Branch,331.2,Four-Door Car,Medsize
HX78576,California,Basic,High School or Below,Employed,F,24516,Urban,Married,71,11,23,0,8,Personal L3,Call Center,300.607591,Four-Door Car,Medsize
ZQ11381,Arizona,Extended,Bachelor,Employed,M,61063,Urban,Married,85,21,4,0,2,Personal L2,Agent,262.504882,Four-Door Car,Medsize
ON39271,California,Basic,Master,Unemployed,M,0,Urban,Married,74,27,91,0,1,Personal L2,Branch,263.365432,Two-Door Car,Medsize
ZT30559,California,Basic,High School or Below,Disabled,F,15169,Suburban,Married,63,34,15,0,3,Personal L3,Web,302.4,Four-Door Car,Medsize
ZS88847,Oregon,Basic,Bachelor,Disabled,F,27592,Suburban,Married,62,6,29,0,1,Personal L3,Branch,297.6,Four-Door Car,Large
KR48903,Washington,Basic,High School or Below,Employed,M,88264,Suburban,Married,62,8,34,0,1,Personal L3,Branch,297.6,Two-Door Car,Medsize
KR62797,Arizona,Basic,High School or Below,Employed,F,83297,Suburban,Married,113,6,28,0,1,Personal L2,Call Center,542.4,SUV,Medsize
FY62633,Oregon,Extended,Bachelor,Unemployed,M,0,Suburban,Single,90,21,21,0,2,Personal L1,Agent,432,Four-Door Car,Medsize
CU36986,California,Premium,High School or Below,Employed,F,55897,Suburban,Married,104,33,5,0,1,Personal L1,Branch,499.2,Four-Door Car,Medsize
WZ53904,Arizona,Basic,Bachelor,Employed,M,21297,Rural,Single,71,26,56,0,1,Personal L3,Agent,45.507952,Four-Door Car,Medsize
AA71604,Arizona,Extended,Master,Employed,F,87560,Suburban,Married,98,4,86,1,2,Personal L2,Web,470.4,Two-Door Car,Medsize
TD10493,Oregon,Extended,High School or Below,Unemployed,F,0,Suburban,Single,96,5,7,4,1,Personal L2,Agent,691.2,Four-Door Car,Medsize
LY97989,Oregon,Extended,Bachelor,Unemployed,F,0,Suburban,Single,85,3,53,0,1,Personal L3,Agent,408,Four-Door Car,Medsize
VX39856,Arizona,Extended,Doctor,Employed,F,89398,Rural,Married,86,5,57,0,1,Personal L3,Branch,82.409922,Four-Door Car,Medsize
QQ89253,Oregon,Extended,College,Unemployed,F,0,Suburban,Married,134,23,16,0,4,Personal L3,Agent,643.2,SUV,Small
EI91403,California,Basic,High School or Below,Employed,M,34946,Suburban,Married,65,30,63,0,1,Personal L3,Call Center,420.35698,Two-Door Car,Small
QG15435,Arizona,Extended,College,Employed,F,75680,Rural,Married,78,27,6,0,6,Personal L3,Agent,136.787725,Four-Door Car,Medsize
FZ55002,Nevada,Basic,Doctor,Unemployed,F,0,Suburban,Married,69,23,13,0,7,Personal L3,Agent,331.2,Four-Door Car,Small
UN37063,Arizona,Basic,Bachelor,Medical Leave,M,10269,Urban,Single,65,12,5,0,3,Personal L1,Agent,170.798204,Two-Door Car,Medsize
VB87946,California,Basic,College,Employed,M,49714,Urban,Married,63,29,64,3,4,Personal L3,Branch,266.165535,Four-Door Car,Medsize
TA34903,Oregon,Basic,High School or Below,Employed,M,81082,Urban,Married,73,5,85,0,4,Personal L1,Agent,281.295903,Four-Door Car,Large
NZ26102,Oregon,Basic,High School or Below,Unemployed,F,0,Suburban,Single,65,8,58,0,1,Personal L3,Branch,468,Four-Door Car,Small
BV79904,California,Basic,Master,Employed,F,44818,Rural,Divorced,67,25,41,1,2,Personal L3,Web,136.883999,Two-Door Car,Medsize
OB49075,Arizona,Basic,Bachelor,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal L3,Agent,312,Four-Door Car,Medsize
DS97676,Oregon,Basic,College,Unemployed,F,0,Suburban,Single,72,14,24,0,1,Personal L2,Agent,518.4,Four-Door Car,Large
WZ40465,Washington,Basic,Bachelor,Employed,F,36234,Rural,Married,63,0,44,0,5,Personal L3,Web,113.534474,Four-Door Car,Small
RS24501,Oregon,Premium,College,Employed,F,28919,Suburban,Single,173,5,88,0,3,Personal L2,Agent,830.4,SUV,Medsize
VT78274,Arizona,Basic,College,Unemployed,M,0,Suburban,Married,68,6,93,0,8,Personal L3,Agent,480.159011,Four-Door Car,Medsize
YQ15567,Oregon,Basic,Bachelor,Medical Leave,F,18846,Suburban,Married,115,16,84,0,3,Personal L2,Agent,552,SUV,Small
TR88637,Arizona,Basic,High School or Below,Employed,F,38893,Rural,Single,103,19,40,0,9,Personal L1,Agent,41.965252,SUV,Small
CC91503,Arizona,Extended,High School or Below,Unemployed,F,0,Suburban,Married,135,32,61,0,8,Personal L3,Agent,648,Sports Car,Medsize
WH32183,California,Basic,Bachelor,Employed,M,97245,Rural,Divorced,70,29,29,0,2,Personal L3,Web,4.110585,Four-Door Car,Medsize
ES90681,California,Basic,College,Employed,F,51808,Suburban,Married,61,3,12,1,1,Personal L2,Agent,351.149904,Four-Door Car,Small
DW96592,California,Basic,Bachelor,Employed,M,71391,Urban,Married,67,29,39,0,2,Personal L3,Agent,284.000172,Four-Door Car,Medsize
MT23134,Oregon,Basic,High School or Below,Unemployed,M,0,Suburban,Married,73,17,44,0,7,Personal L3,Call Center,496.474767,Two-Door Car,Medsize
BM69081,Arizona,Basic,Bachelor,Unemployed,M,0,Suburban,Single,100,5,54,0,7,Personal L1,Call Center,925.137143,SUV,Medsize
QR15221,Washington,Basic,High School or Below,Employed,F,22562,Suburban,Married,65,4,81,0,1,Personal L3,Branch,312,Two-Door Car,Medsize
ON77827,Arizona,Basic,Master,Medical Leave,F,22974,Urban,Married,71,0,8,0,1,Personal L3,Call Center,180.667969,Four-Door Car,Large
KP18988,Oregon,Premium,High School or Below,Unemployed,F,0,Suburban,Single,101,21,35,0,2,Personal L3,Branch,484.8,Four-Door Car,Medsize
TI92884,Arizona,Basic,Bachelor,Employed,M,61844,Suburban,Divorced,106,19,74,0,2,Personal L2,Call Center,508.8,Sports Car,Small
JH73503,Arizona,Basic,Doctor,Employed,M,24804,Suburban,Married,73,19,98,0,2,Personal L2,Call Center,350.4,Two-Door Car,Small
YE97964,California,Basic,Bachelor,Employed,F,27760,Urban,Married,104,13,71,0,2,Personal L2,Web,302.764283,SUV,Small
VA30351,Oregon,Basic,High School or Below,Employed,F,74454,Suburban,Single,71,25,29,0,3,Personal L2,Call Center,340.8,Four-Door Car,Medsize
PV55726,Oregon,Basic,Master,Employed,F,29462,Suburban,Single,107,28,23,1,1,Personal L2,Branch,513.6,SUV,Large
TS53809,Oregon,Basic,Bachelor,Unemployed,M,0,Suburban,Single,70,18,99,0,2,Personal L1,Agent,349.783046,Two-Door Car,Medsize
FB80807,Oregon,Basic,Bachelor,Employed,M,36088,Suburban,Single,72,16,31,0,9,Personal L3,Agent,345.6,Four-Door Car,Medsize
AS55677,California,Premium,High School or Below,Employed,F,70534,Rural,Divorced,104,31,71,0,3,Personal L2,Branch,54.065538,Four-Door Car,Medsize
WA15684,Oregon,Extended,College,Employed,M,27398,Suburban,Married,125,4,71,1,2,Personal L1,Call Center,600,SUV,Medsize
SA50567,Nevada,Basic,Bachelor,Employed,M,85296,Suburban,Married,68,15,47,0,6,Personal L3,Web,342.515136,Four-Door Car,Medsize
KJ31611,Arizona,Extended,High School or Below,Employed,M,31063,Suburban,Married,92,20,19,0,2,Personal L2,Agent,441.6,Four-Door Car,Small
VL37375,California,Extended,Bachelor,Unemployed,M,0,Suburban,Single,92,8,28,0,3,Personal L3,Branch,1027.177255,Two-Door Car,Small
KN21017,Nevada,Extended,High School or Below,Employed,M,52367,Urban,Married,81,25,64,0,1,Personal L1,Call Center,275.989978,Four-Door Car,Medsize
PX44289,Arizona,Basic,College,Employed,M,58651,Suburban,Single,71,6,95,0,3,Personal L2,Call Center,472.599683,Four-Door Car,Medsize
CH85057,Oregon,Premium,Doctor,Employed,F,45354,Rural,Married,285,5,51,0,1,Personal L3,Agent,540.141566,Luxury SUV,Medsize
UP71482,Arizona,Basic,High School or Below,Unemployed,M,0,Suburban,Married,63,11,73,0,2,Personal L1,Call Center,383.363758,Four-Door Car,Large
HV83672,Oregon,Extended,Bachelor,Employed,F,38772,Urban,Married,90,8,87,0,2,Personal L1,Branch,321.873474,Four-Door Car,Medsize
MG10140,Oregon,Extended,College,Employed,F,41479,Rural,Married,94,14,38,1,1,Personal L1,Call Center,19.575683,Two-Door Car,Large
TC44716,California,Basic,Bachelor,Retired,M,23909,Suburban,Single,119,21,86,0,2,Personal L1,Agent,571.2,SUV,Medsize
QO65264,California,Basic,College,Employed,M,48328,Rural,Married,63,22,12,0,7,Personal L3,Branch,108.138715,Two-Door Car,Small
OT52034,California,Extended,Bachelor,Employed,M,24204,Suburban,Married,99,25,41,1,1,Personal L3,Branch,707.303416,Four-Door Car,Medsize
PU85769,California,Basic,High School or Below,Unemployed,M,0,Suburban,Single,73,5,72,0,7,Personal L2,Branch,807.947292,Four-Door Car,Small
UI73201,California,Extended,College,Employed,M,62375,Suburban,Married,92,34,34,0,1,Personal L2,Web,618.630955,Two-Door Car,Medsize
XP11075,Arizona,Premium,Bachelor,Unemployed,M,0,Suburban,Single,148,8,18,0,2,Personal L2,Agent,710.4,SUV,Medsize
EC71986,Washington,Basic,High School or Below,Medical Leave,F,26736,Suburban,Married,63,6,64,0,1,Personal L1,Agent,367.92773,Four-Door Car,Medsize
